Organizations-Enhanced	records	% of 10298
UNITED STATES DEPARTMENT OF ENERGY DOE	1127	10.944
UNIVERSITY OF CALIFORNIA SYSTEM	1107	10.750
UNIVERSITY OF CALIFORNIA BERKELEY	540	5.244
LAWRENCE BERKELEY NATIONAL LABORATORY	449	4.360
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS	440	4.273
MASSACHUSETTS INSTITUTE OF TECHNOLOGY MIT	379	3.680
MAX PLANCK SOCIETY	345	3.350
CHINESE ACADEMY OF SCIENCES	319	3.098
STANFORD UNIVERSITY	314	3.049
HARVARD UNIVERSITY	287	2.787
NORTHWESTERN UNIVERSITY	266	2.583
RICE UNIVERSITY	259	2.515
UNIVERSITY SYSTEM OF GEORGIA	230	2.233
GEORGIA INSTITUTE OF TECHNOLOGY	212	2.059
PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION PCSHE	199	1.932
UNIVERSITY OF ILLINOIS SYSTEM	191	1.855
ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE	173	1.680
UNIVERSITY OF ILLINOIS URBANA CHAMPAIGN	169	1.641
UNIVERSITY OF CAMBRIDGE	169	1.641
UNIVERSITY OF PENNSYLVANIA	168	1.631
INTERNATIONAL BUSINESS MACHINES IBM	162	1.573
CORNELL UNIVERSITY	158	1.534
UNIVERSITY OF CHICAGO	154	1.495
CALIFORNIA INSTITUTE OF TECHNOLOGY	153	1.486
UNIVERSITY OF CALIFORNIA LOS ANGELES	152	1.476
UNITED STATES DEPARTMENT OF DEFENSE	152	1.476
OAK RIDGE NATIONAL LABORATORY	151	1.466
PENN STATE UNIVERSITY	150	1.457
UNIVERSITY OF TEXAS AUSTIN	147	1.427
DELFT UNIVERSITY OF TECHNOLOGY	143	1.389
PEKING UNIVERSITY	141	1.369
COLUMBIA UNIVERSITY	141	1.369
ARGONNE NATIONAL LABORATORY	137	1.330
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS CSIC	132	1.282
PURDUE UNIVERSITY SYSTEM	131	1.272
PURDUE UNIVERSITY	131	1.272
LUND UNIVERSITY	131	1.272
UNIVERSITY OF MICHIGAN SYSTEM	124	1.204
UNIVERSITY OF MICHIGAN	124	1.204
SWISS FEDERAL INSTITUTE OF TECHNOLOGY ZURICH	117	1.136
UNIVERSITY OF WASHINGTON SEATTLE	115	1.117
UNIVERSITY OF WASHINGTON	115	1.117
FLORIDA STATE UNIVERSITY SYSTEM	115	1.117
UNIVERSITY OF CALIFORNIA SANTA BARBARA	112	1.088
UNIVERSITY OF MUNICH	111	1.078
KOREA ADVANCED INSTITUTE OF SCIENCE TECHNOLOGY KAIST	108	1.049
JAPAN SCIENCE TECHNOLOGY AGENCY JST	105	1.020
UNIVERSITY OF CALIFORNIA SAN DIEGO	102	0.990
LOS ALAMOS NATIONAL LABORATORY	100	0.971
SEOUL NATIONAL UNIVERSITY	99	0.961
TSINGHUA UNIVERSITY	97	0.942
CHALMERS UNIVERSITY OF TECHNOLOGY	96	0.932
SANDIA NATIONAL LABORATORY	95	0.923
NATIONAL INSTITUTE OF STANDARDS TECHNOLOGY NIST USA	95	0.923
UNIVERSITY SYSTEM OF MARYLAND	93	0.903
CONSIGLIO NAZIONALE DELLE RICERCHE CNR	91	0.884
ARIZONA STATE UNIVERSITY	91	0.884
UNIVERSITY OF MARYLAND COLLEGE PARK	88	0.855
UNIVERSITY OF CALIFORNIA RIVERSIDE	88	0.855
HEBREW UNIVERSITY OF JERUSALEM	88	0.855
CEA	88	0.855
UNIVERSITY OF NORTH CAROLINA	86	0.835
NATIONAL UNIVERSITY OF SINGAPORE	85	0.825
UNIVERSITY OF OXFORD	84	0.816
BROOKHAVEN NATIONAL LABORATORY	84	0.816
NATIONAL INSTITUTE OF MATERIALS SCIENCE NIMS JAPAN	83	0.806
STATE UNIVERSITY OF NEW YORK SUNY SYSTEM	82	0.796
NANYANG TECHNOLOGICAL UNIVERSITY NATIONAL INSTITUTE OF EDUCATION NIE SINGAPORE	80	0.777
NANYANG TECHNOLOGICAL UNIVERSITY	80	0.777
UNITED STATES NAVY	79	0.767
NAVAL RESEARCH LABORATORY	79	0.767
WEIZMANN INSTITUTE OF SCIENCE	77	0.748
UNIVERSITY OF WISCONSIN SYSTEM	77	0.748
TEL AVIV UNIVERSITY	76	0.738
TECHNICAL UNIVERSITY OF MUNICH	74	0.719
DUKE UNIVERSITY	74	0.719
UNIVERSITY OF WISCONSIN MADISON	73	0.709
UNIVERSITY OF SOUTHERN CALIFORNIA	73	0.709
HELMHOLTZ ASSOCIATION	73	0.709
NATIONAL RENEWABLE ENERGY LABORATORY USA	71	0.689
ZHEJIANG UNIVERSITY	69	0.670
UNIVERSITY OF TOKYO	67	0.651
UNIVERSITY OF PARIS SUD PARIS XI	66	0.641
UNIVERSITY OF COLORADO SYSTEM	66	0.641
NATIONAL INSTITUTE OF ADVANCED INDUSTRIAL SCIENCE TECHNOLOGY AIST	66	0.641
UNIVERSITY OF MINNESOTA TWIN CITIES	65	0.631
UNIVERSITY OF MINNESOTA SYSTEM	65	0.631
KARLSRUHE INSTITUTE OF TECHNOLOGY	65	0.631
JOSEPH FOURIER UNIVERSITY	65	0.631
PRINCETON UNIVERSITY	64	0.621
UNIVERSITY OF CALIFORNIA IRVINE	63	0.612
NATIONAL TSING HUA UNIVERSITY	63	0.612
DRESDEN UNIVERSITY OF TECHNOLOGY	63	0.612
UNIVERSITY OF COLORADO BOULDER	62	0.602
VANDERBILT UNIVERSITY	61	0.592
RUSSIAN ACADEMY OF SCIENCES	61	0.592
RENSSELAER POLYTECHNIC INSTITUTE	60	0.583
IMPERIAL COLLEGE LONDON	59	0.573
TOHOKU UNIVERSITY	57	0.554
SUNGKYUNKWAN UNIVERSITY	57	0.554
TECHNICAL UNIVERSITY OF DENMARK	56	0.544
EINDHOVEN UNIVERSITY OF TECHNOLOGY	56	0.544
AUSTRALIAN NATIONAL UNIVERSITY	56	0.544
UNIVERSITY OF ROCHESTER	55	0.534
NATIONAL CENTER FOR NANOSCIENCE TECHNOLOGY CHINA	55	0.534
CENTER FOR NANOPHASE MATERIALS SCIENCES	55	0.534
UNIVERSITY OF TORONTO	54	0.524
SLAC NATL ACCELERATOR LAB	54	0.524
POHANG UNIVERSITY OF SCIENCE TECHNOLOGY POSTECH	54	0.524
NATIONAL AERONAUTICS SPACE ADMINISTRATION NASA	54	0.524
UNIVERSITY OF CALIFORNIA DAVIS	53	0.515
UNIVERSITY OF STUTTGART	52	0.505
UNIVERSITY OF MASSACHUSETTS SYSTEM	52	0.505
BOSTON UNIVERSITY	52	0.505
UNIVERSITY OF FLORIDA	51	0.495
PACIFIC NORTHWEST LABORATORY	51	0.495
BROWN UNIVERSITY	51	0.495
YONSEI UNIVERSITY	50	0.486
UNIVERSITY OF TWENTE	50	0.486
PIERRE MARIE CURIE UNIVERSITY PARIS 6	49	0.476
NORTH CAROLINA STATE UNIVERSITY	49	0.476
KOREA UNIVERSITY	49	0.476
UNIVERSITY OF UTRECHT	48	0.466
UNIVERSITY OF HAMBURG	48	0.466
ACADEMIA SINICA TAIWAN	48	0.466
UNIVERSITY OF LONDON	47	0.456
UNIVERSITY OF COPENHAGEN	47	0.456
LAWRENCE LIVERMORE NATIONAL LABORATORY	47	0.456
UNIVERSITY OF SCIENCE TECHNOLOGY OF CHINA	46	0.447
UNIVERSITY OF STRASBOURG	45	0.437
UNIVERSITY OF PITTSBURGH	45	0.437
UNIVERSITY OF TENNESSEE SYSTEM	44	0.427
INSTITUTE FOR INTEGRATIVE NANOSCIENCES IIN	44	0.427
UNIVERSITY OF TENNESSEE KNOXVILLE	43	0.418
WASHINGTON UNIVERSITY WUSTL	42	0.408
OSAKA UNIVERSITY	42	0.408
ICREA	42	0.408
FUDAN UNIVERSITY	42	0.408
YALE UNIVERSITY	41	0.398
